suburb,postcode,incidents_recorded_2014_2023
Nirranda South,3268,14
Noble Park,3174,20007
Noble Park North,3174,3825
Noojee,3833,193
Noorat,3265,78
Noorat East,3265,6
Noorinbee,3890,23
Noorinbee North,3890,10
Noradjuha,3409,29
Norlane,3214,15042
Normanville,3579,9
Norong,3682,27
North Bendigo,3550,2612
North Blackwood,3458,6
North Geelong,3215,5321
North Melbourne,3051,13010
North Shore,3214,885
North Wangaratta,3678,135
North Warrandyte,3113,267
North Wonthaggi,3995,1304
Northcote,3070,14899
Northwood,3660,69
Norval,3377,11
Notting Hill,3168,1586
Nowa Nowa,3887,190
Nowhere Creek,3469,2
Nowie,3585,15
Nug Nug,3737,16
Nuggetty,3463,11
Nulla Vale,3435,61
Nullawarre,3268,54
Nullawarre North,3268,12
Nullawil,3529,24
Numurkah,3636,2351
Nunawading,3131,4959
Nungurner,3909,67
Nunniong,3896,12
Nurcoung,3401,6
Nurrabiel,3401,16
Nurran,3888,1
Nutfield,3099,129
Nyah,3594,197
Nyah West,3595,383
Nyarrin,3533,1
Nyerimilang,3909,9
Nyora,3987,412
Nyrraby,3585,4
Oak Park,3046,2126
Oaklands Junction,3063,192
Oakleigh,3166,9026
Oakleigh East,3166,2572
Oakleigh South,3167,3790
Oakvale,3540,2
Ocean Grange,3880,7
Ocean Grove,3226,3649
Officer,3809,5708
Officer South,3809,172
Old Tallangatta,3701,1
Olinda,3788,608
Ombersley,3241,20
Omeo,3898,187
Omeo Valley,3898,11
Ondit,3249,45
Orbost,3888,2096
Orford,3284,18
Ormond,3204,2457
Orrvale,3631,351
Osbornes Flat,3691,13
Outtrim,3951,61
Ouyen,3490,577
Ovens,3738,43
Oxley,3678,91
Oxley Flats,3678,14
Ozenkadnook,3413,1
Paaratte,3268,17
Painswick,3551,2
Pakenham,3810,27671
Pakenham South,3810,166
Pakenham Upper,3810,376
Panitya,3512,12
Panmure,3265,131
Panton Hill,3759,146
Paradise,3477,24
Paradise Beach,3851,92
Paraparap,3240,38
Park Orchards,3114,641
Parkdale,3195,3979
Parkville,3052,6227
Parwan,3340,230
Paschendale,3315,3
Pascoe Vale,3044,7475
Pascoe Vale South,3044,3850
Pastoria,3444,9
Pastoria East,3444,6
Patchewollock,3491,57
Patho,3564,70
Patterson Lakes,3197,3716
Patyah,3318,2
Paynesville,3880,1359
Pearcedale,3912,1089
Pearsondale,3851,42
Peechelba,3678,33
Peechelba East,3678,8
Pelluebla,3727,6
Pennyroyal,3235,6
Penshurst,3289,192
Pental Island,3586,33
Pentland Hills,3341,144
Percydale,3478,28
Peronne,3413,3
Perry Bridge,3862,38
Peterborough,3270,94
Pheasant Creek,3757,76
Piangil,3597,78
Picola,3639,113
Picola West,3639,2
Piedmont,3833,23
Pier Milan,3533,7
Pigeon Ponds,3407,2
Piggoreet,3351,2
Pimpinio,3401,91
Pine Grove,3573,17
Pine Lodge,3631,78
Pine Mountain,3709,2
Pioneer Bay,3984,153
Pipers Creek,3444,13
Pira,3585,7
Piries,3723,25
Pirron Yallock,3249,45
Pitfield,3351,12
Pittong,3360,9
Plenty,3090,798
Plumpton,3335,79
Point Cook,3030,16393
Point Leo,3916,48
Point Lonsdale,3225,670
Point Wilson,3212,75
Pomborneit,3260,39
Pomborneit East,3249,15
Pomborneit North,3260,13
Pomonal,3381,47
Pompapiel,3571,19
Poolaijelo,3312,5
Pootilla,3352,44
Poowong,3988,177
Poowong East,3988,28
Poowong North,3988,40
Porcupine Ridge,3461,16
Porepunkah,3740,218
Port Albert,3971,198
Port Campbell,3269,200
Port Fairy,3284,1159
Port Franklin,3964,28
Port Melbourne,3207,15850
Port Welshpool,3965,137
Portarlington,3223,1463
Portland,3305,8608
Portland North,3305,151
Portland West,3305,107
Portsea,3944,527
Pound Creek,3996,24
Powelltown,3797,83
Powlett Plains,3517,12
Prahran,3143,4
Prahran,3181,19385
Prairie,3572,17
Pranjip,3666,9
Preston,3072,38972
Princes Hill,3054,1530
Princetown,3269,112
Puckapunyal,3662,141
Pura Pura,3271,12
Purnim,3278,80
Purnim West,3278,7
Pyalong,3521,302
Pyramid Hill,3575,275
Quambatook,3540,109
Quandong,3030,61
Quantong,3401,37
Quarry Hill,3550,1156
Queenscliff,3225,574
Raglan,3373,107
Rainbow,3424,170
Ranceby,3951,14
Rathscar,3465,17
Rathscar West,3465,5
Ravenhall,3023,3008
Ravenswood,3453,242
Ravenswood South,3453,72
Rawson,3825,142
Raymond Island,3880,94
Raywood,3570,105
Red Cliffs,3496,2551
Red Hill,3937,214
Red Hill South,3937,105
Red Lion,3371,44
Redan,3350,3202
Redbank,3477,42
Redcastle,3523,44
Redesdale,3444,113
Reedy Creek,3658,54
Reedy Dam,3395,5
Reedy Flat,3895,1
Reedy Lake,3579,23
Reefton,3799,52
Research,3095,516
Reservoir,3073,34183
Rheola,3517,29
Rhyll,3923,154
Rhymney,3377,10
Riachella,3385,2
Rich Avon East,3480,2
Rich Avon West,3480,5
Richmond,3121,31258
Richmond Plains,3518,1
Riddells Creek,3431,914
Riggs Creek,3666,8
Ringwood,3134,24170
Ringwood East,3135,4754
Ringwood North,3134,1765
Ripplebrook,3818,71
Rippleside,3215,754
Ripponlea,3185,899
Riverside,3401,66
Riverslea,3860,39
Robertsons Beach,3971,66
Robinvale,3549,2795
Rochester,3561,1595
Rochford,3442,36
Rockbank,3335,1401
Rocklands,3401,7
Rocklyn,3364,7
Rocky Point,3377,2
Rokeby,3821,41
Rokewood,3330,131
Rokewood Junction,3351,26
Romsey,3434,1407
Rosanna,3084,2659
Rose River,3678,21
Rosebery,3395,3
Rosebrook,3285,22
Rosebud,3939,11278
Rosedale,3847,1419
Roses Gap,3385,3
Rosewhite,3737,13
Roslynmead,3564,13
Ross Creek,3351,174
Rossbridge,3377,8
Rowsley,3340,90
Rowville,3178,12369
Roxburgh Park,3064,9658
Rubicon,3712,46
Ruby,3953,40
Ruffy,3666,13
Running Creek,3691,5
Runnymede,3558,27
Rupanyup,3388,217
Rushworth,3612,788
Russells Bridge,3331,11
Rutherglen,3685,823
Ryanston,3992,34
Rye,3941,5006
Rythdale,3810,13
Safety Beach,3936,1659
Sailors Falls,3461,20
Sailors Gully,3556,216
Sailors Hill,3461,20
Sale,3850,15743
Salisbury West,3517,23
Samaria,3673,21
San Remo,3925,657
Sandford,3312,50
Sandhill Lake,3579,4
Sandhurst,3977,788
Sandon,3462,15
Sandringham,3191,4790
Sandy Creek,3695,44
Sandy Point,3959,89
Sarsfield,3875,122
Sassafras,3154,4
Sassafras,3787,227
Sawmill Settlement,3723,26
Scarsdale,3351,213
Scoresby,3179,3415
Scotchmans Lead,3352,6
Scotsburn,3352,68
Scotts Creek,3267,58
Sea Lake,3533,207
Seabrook,3028,1488
Seacombe,3851,17
Seaford,3198,15107
Seaholme,3018,755
Seaspray,3851,252
Seaton,3858,47
Seaview,3821,18
Sebastian,3556,93
Sebastopol,3356,8604
Seddon,3011,2142
Sedgwick,3551,65
Selby,3159,268
Selwyn,3737,7
Separation Creek,3234,11
Serpentine,3517,162
Serviceton,3420,58
Seville,3139,784
Seville East,3139,176
Seymour,3660,8905
Shady Creek,3821,79
She Oaks,3331,28
Sheans Creek,3666,3
Sheep Hills,3392,13
Shelbourne,3515,80
Shelford,3329,65
Shelley,3701,8
Shepherds Flat,3461,53
Shepparton,3630,41216
Shepparton East,3631,480
Shepparton North,3631,472
Sherbrooke,3789,91
Shoreham,3916,131
Silvan,3795,411
Silverleaves,3922,69
Simpson,3266,112
Simpsons Creek,3888,8
Simson,3465,23
Skenes Creek,3233,66
Skenes Creek North,3233,11
Skibo,3260,6
Skinners Flat,3518,15
Skipton,3361,181
Skye,3977,2924
Slaty Creek,3477,17
Smeaton,3364,69
Smiths Beach,3922,146
Smiths Gully,3760,32
Smokeytown,3364,6
Smoko,3741,8
Smythes Creek,3351,505
Smythesdale,3351,420
Snake Valley,3351,224
Soldiers Hill,3350,2277
Somers,3927,456
Somerton,3062,1880
Somerville,3912,4347
Sorrento,3943,1329
South Dudley,3995,354
South Geelong,3220,2464
South Kingsville,3015,604
South Melbourne,3205,17777
South Morang,3752,8481
South Purrumbete,3260,25
South Wharf,3006,1888
South Yarra,3141,21196
Southbank,3006,25729
Southern Cross,3283,8
Spargo Creek,3461,25
Speed,3488,29
Spotswood,3015,2121
Spring Gully,3550,875
Spring Hill,3444,34
Springbank,3352,44
Springdallah,3351,8
Springfield,3434,59
Springhurst,3682,211
Springmount,3364,24
Springvale,3171,18272
Springvale South,3172,4924
St Albans,3020,2
St Albans,3021,29485
St Albans Park,3219,1547
St Andrews,3761,215
St Andrews Beach,3941,246
St Arnaud,3478,1466
St Arnaud East,3477,37
St Arnaud North,3477,13
St Clair,3995,15
St Germains,3620,37
St Helena,3088,604
St Helens,3285,2
St Helens Plains,3401,33
St James,3727,50
St Kilda,3182,33418
St Kilda East,3183,5404
St Kilda West,3182,2299
St Leonards,3223,1345
Staceys Bridge,3971,19
Staffordshire Reef,3351,29
Staghorn Flat,3691,29
Stanhope,3623,412
Stanley,3747,47
Staughton Vale,3340,26
Stavely,3379,2
Stawell,3380,4855
Steels Creek,3775,31
Steiglitz,3331,32
Stewarton,3725,36
Stockdale,3862,28
Stockyard Hill,3373,24
Stonehaven,3218,33
Stoneleigh,3373,10
Stony Creek,3371,10
Stony Creek,3957,84
Stonyford,3260,29
Stradbroke,3851,75
Strangways,3461,12
Stratford,3862,891
Strath Creek,3658,98
Strathallan,3622,73
Strathbogie,3666,57
Strathdale,3550,2231
Strathdownie,3312,50
Strathewen,3099,39
Strathfieldsaye,3551,1095
Strathkellar,3301,10
Strathlea,3364,7
Strathmerton,3641,467
Strathmore,3041,3075
Strathmore Heights,3041,344
Strathtulloh,3338,1079
Streatham,3351,25
Strzelecki,3950,22
Stuart Mill,3477,33
Sugarloaf,3234,5
Sugarloaf Creek,3658,49
Suggan Buggan,3885,47
Sulky,3352,53
Summerlands,3922,32
Sunbury,3429,19719
Sunday Creek,3658,106
Sunderland Bay,3922,87
Sunset Strip,3922,149
Sunshine,3020,23652
Sunshine North,3020,9417
Sunshine West,3020,9901
Surf Beach,3922,191
Surrey Hills,3127,3234
Sutherland,3477,5
Sutherlands Creek,3331,57
Sutton,3530,1
Sutton Grange,3448,33
Swan Bay,3225,24
Swan Hill,3585,11711
Swan Hill West,3585,3
Swan Island,3225,2
Swan Marsh,3249,44
Swan Reach,3903,232
Swanpool,3673,40
Swanwater,3477,1
Swifts Creek,3896,85
Sydenham,3037,4123
Sylvaterre,3575,4
Tabilk,3607,75
Tabor,3289,7
Taggerty,3714,121
Tahara,3301,8
Tahara Bridge,3315,3
Tahara West,3310,2
Talbot,3371,203
Talgarno,3691,32
Tallandoon,3701,18
Tallangatta,3700,419
Tallangatta East,3700,4
Tallangatta South,3701,14
Tallangatta Valley,3701,20
Tallarook,3659,671
Tallygaroopna,3634,191
Tambo Crossing,3893,2
Tambo Upper,3885,40
Tamboon,3890,14
Tamboritha,3858,1
Taminick,3675,28
Tamleugh,3669,15
Tamleugh North,3669,6
Tandarook,3260,4
Tandarra,3571,9
Tangambalanga,3691,125
Tanjil,3825,8
Tanjil Bren,3833,7
Tanjil South,3825,149
Tanwood,3478,5
Tanybryn,3249,9
Taradale,3447,133
Tarcombe,3666,7
Tarilta,3451,9
Tarnagulla,3551,65
Tarneit,3029,16069
Tarnook,3670,11
Taroon,3265,5
Tarra Valley,3971,29
Tarranyurk,3414,13
Tarraville,3971,56
Tarrawarra,3775,13
Tarrawingee,3678,55
Tarrayoukyan,3315,1
Tarrengower,3463,6
Tarrenlea,3315,1
Tarrington,3301,32
Tarrone,3283,11
Tarwin,3956,13
Tarwin Lower,3956,169
Tatong,3673,46
Tatura,3616,1815
Tatura East,3616,57
Tatyoon,3378,27
Tawonga,3697,50
Tawonga South,3698,58
Taylor Bay,3713,26
Taylors Hill,3037,3226
Taylors Lakes,3038,10632
Teal Point,3579,16
Tecoma,3160,792
Teddywaddy,3527,5
Teddywaddy West,3527,2
Teesdale,3328,175
Telangatuk East,3401,7
Telford,3730,10
Telopea Downs,3420,15
Templestowe,3106,3601
Templestowe Lower,3107,3441
Tempy,3489,25
Tenby Point,3984,60
Tennyson,3572,15
Terang,3264,1143
Terip Terip,3719,9
Terrappee,3525,2
Terrick Terrick,3575,4
Terrick Terrick East,3573,8
Tesbury,3260,14
Tetoora Road,3821,10
Thalia,3527,2
The Basin,3154,1708
The Cove,3268,2
The Gurdies,3984,78
The Heart,3851,15
The Honeysuckles,3851,58
The Patch,3792,139
The Sisters,3265,31
Thologolong,3691,9
Thomastown,3074,17018
Thomson,3219,2058
Thomson,3825,9
Thoona,3726,25
Thornbury,3071,11316
Thornhill Park,3335,1129
Thornton,3712,198
Thorpdale,3835,146
Thorpdale South,3824,24
Thowgla Valley,3707,10
Three Bridges,3797,53
Timbarra,3893,2
Timboon,3268,373
Timboon West,3268,2
Timmering,3561,56
Timor,3465,52
Timor West,3465,3
Tinamba,3859,116
Tinamba West,3859,25
Tintaldra,3708,22
Tittybong,3542,1
Tol Tol,3549,30
Tolmie,3723,79
Tom Groggin,3707,1
Tongala,3621,874
Tonghi Creek,3890,2
Tongio,3896,19
Tonimbuk,3815,79
Tooan,3409,9
Tooborac,3522,153
Toolamba,3614,176
Toolamba West,3614,32
Toolangi,3777,117
Toolern Vale,3337,555
Toolleen,3551,88
Toolondo,3401,37
Toolong,3285,15
Toombon,3825,6
Toongabbie,3856,284
Toora,3962,327
Toora North,3962,31
Tooradin,3980,902
Toorak,3142,6590
Toorloo Arm,3909,204
Toorongo,3833,2
Tootgarook,3941,2197
Torquay,3228,4438
Torrita,3490,10
Torrumbarry,3562,144
Torwood,3821,14
Tostaree,3888,14
Tottenham,3012,1021
Tourello,3363,19
Towan,3596,10
Towaninny South,3527,1
Tower Hill,3283,69
Towong,3707,20
Towong Upper,3707,3
Trafalgar,3824,2193
Trafalgar East,3824,202
Trafalgar South,3824,58
Tragowel,3579,45
Traralgon,3844,27898
Traralgon East,3844,1009
Traralgon South,3844,111
Travancore,3032,1179
Trawalla,3373,94
Trawool,3660,69
Traynors Lagoon,3477,16
Tremont,3785,103
Trentham,3458,336
Trentham East,3458,44
Tresco,3583,95
Tresco West,3584,44
Trida,3953,20
Truganina,3029,11296
Tubbut,3888,20
Tuerong,3915,233
Tulkara,3384,2
Tullamarine,3043,8328
Tungamah,3728,162
Turoar,3546,2
Turriff,3488,4
Turtons Creek,3960,37
Tutye,3490,3
Tyaak,3658,16
Tyabb,3913,1236
Tyers,3844,328
Tylden,3444,141
Tynong,3813,233
Tynong North,3813,199
Tyntynder,3586,65
Tyntynder South,3586,41
Tyrendarra,3285,53
Tyrendarra East,3285,5
Tyrrell Downs,3533,3
Ullina,3370,11
Ullswater,3318,14
Ultima,3544,104
Ulupna,3641,16
Undera,3629,177
Underbool,3509,55
Upotipotpon,3669,20
Upper Ferntree Gully,3156,1855
Upper Gundowring,3691,7
Upper Lurg,3673,25
Upper Plenty,3756,149
Upper Ryans Creek,3673,12
Upton Hill,3664,2
Upwey,3158,1957
Valencia Creek,3860,36
Vasey,3407,7
Vaughan,3451,10
Vectis,3401,54
Ventnor,3922,371
Venus Bay,3956,424
Vermont,3133,2462
Vermont South,3133,3618
Vervale,3814,19
Vesper,3833,30
Victoria Point,3294,1
Victoria Valley,3294,25
Viewbank,3084,1370
Vinifera,3591,37
Violet Town,3669,295
Vite Vite,3325,9
Vite Vite North,3325,1
W Tree,3885,9
Waaia,3637,91
Waanyarra,3551,10
Waarre,3269,5
Wabonga,3678,5
Waggarandall,3646,4
Wahgunyah,3687,284
Wahring,3608,74
Wail,3401,33
Wairewa,3887,27
Waitchie,3544,7
Wal Wal,3385,17
Waldara,3678,42
Walhalla,3825,59
Walkerville,3956,69
Walkerville North,3956,6
Walkerville South,3956,7
Wallace,3352,90
Wallacedale,3303,31
Wallagaraugh,3891,3
Wallaloo,3387,2
Wallaloo East,3387,9
Wallan,3756,7328
Wallinduc,3351,26
Wallington,3222,299
Wallup,3401,11
Walmer,3463,56
Walpa,3875,38
Walpeup,3507,28
Walwa,3709,63
Wandana Heights,3216,499
Wandella,3579,16
Wandiligong,3744,78
Wandin East,3139,80
Wandin North,3139,718
Wando Bridge,3312,1
Wando Vale,3312,24
Wandong,3758,886
Wangandary,3678,38
Wangarabell,3891,5
Wangaratta,3677,14780
Wangaratta South,3678,224
Wangoom,3279,52
Wannon,3301,30
Wantirna,3152,5040
Wantirna South,3152,12113
Wantirna South,3155,99
Waranga Shores,3612,117
Waratah Bay,3959,14
Warburton,3799,932
Wareek,3465,19
Wargan,3505,50
Warncoort,3243,41
Warneet,3980,141
Warrabkook,3286,4
Warracknabeal,3393,1435
Warragul,3820,12257
Warragul South,3821,31
Warragul West,3821,14
Warrak,3377,46
Warrandyte,3113,1218
Warrandyte South,3134,103
Warranwood,3134,509
Warrayure,3301,8
Warrenbayne,3670,27
Warrenheip,3352,910
Warrenmang,3478,7
Warrion,3249,30
Warrnambool,3280,22870
Warrock,3312,2
Warrong,3283,10
Wartook,3401,26
Watchem,3482,81
Watchem West,3393,3
Watchem West,3482,1
Watchupga,3485,8
Waterford Park,3658,95
Waterholes,3875,6
Waterloo,3373,73
Waterways,3195,498
Watsonia,3087,3521
Watsonia North,3087,851
Watsons Creek,3097,10
Wattle Bank,3995,38
Wattle Creek,3384,1
Wattle Flat,3352,18
Wattle Glen,3096,351
Wattle Hill,3237,5
Waubra,3352,111
Waurn Ponds,3216,1950
Waygara,3888,10
Weatherboard,3352,10
Wedderburn,3518,690
Wedderburn Junction,3518,10
Wee Wee Rup,3568,9
Weeaproinah,3237,1
Weering,3251,16
Weerite,3260,24
Wehla,3518,15
Weir Views,3338,1565
Wellsford,3551,82
Welshmans Reef,3462,24
Welshpool,3966,120
Wemen,3549,35
Wendouree,3355,12036
Wensleydale,3241,24
Werneth,3352,44
Werona,3364,5
Werribee,3030,33726
Werribee South,3030,1603
Werrimull,3496,43
Wesburn,3799,330
West Bendigo,3550,360
West Creek,3992,16
West Footscray,3012,5874
West Melbourne,3003,8329
West Wodonga,3690,7063
Westbury,3825,27
Westby,3579,3
Westmeadows,3049,3484
Westmere,3351,22
Whanregarwen,3714,14
Wharparilla,3564,84
Wheatsheaf,3461,53
Wheelers Hill,3150,5137
Whipstick,3556,32
Whirily,3483,3
White Hills,3550,1797
Whiteheads Creek,3660,118
Whitelaw,3950,9
Whitfield,3733,66
Whitlands,3678,13
Whittington,3219,3893
Whittlesea,3757,2787
Whoorel,3243,5
Whorouly,3735,71
Whorouly East,3735,14
Whorouly South,3735,4
Whroo,3612,64
Wickliffe,3379,35
Wilby,3728,65
Wild Dog Valley,3953,32
Wildwood,3429,143
Willangie,3485,3
Willatook,3283,3
Willaura,3379,188
Willaura North,3379,8
Willenabrina,3393,2
Williams Landing,3027,3436
Williamstown,3016,8485
Williamstown North,3016,1169
Willow Grove,3825,174
Willowmavin,3764,40
Willowvale,3360,3
Willung,3847,28
Willung South,3847,34
Wilsons Hill,3515,9
Wilsons Promontory,3960,106
Wimbledon Heights,3922,127
Winchelsea,3241,1013
Winchelsea South,3241,23
Windermere,3352,79
Windsor,3004,16
Windsor,3181,7830
Wingan River,3891,14
Wingeel,3321,9
Winlaton,3585,4
Winnap,3304,7
Winnindoo,3858,40
Winslow,3281,46
Winter Valley,3358,944
Winton,3673,123
Winton North,3673,15
Wirrate,3608,3
Wiseleigh,3885,39
Wodonga,3690,17556
Wollert,3750,5472
Wombat Creek,3888,28
Wombelano,3409,3
Won Wron,3971,52
Wonga,3960,14
Wonga Park,3115,641
Wongarra,3234,10
Wongungarra,3862,2
Wonnangatta,3737,6
Wonthaggi,3995,5865
Wonwondah,3401,33
Wonyip,3962,33
Wood Wood,3596,35
Woodend,3442,1889
Woodend North,3442,66
Woodfield,3715,15
Woodford,3281,39
Woodglen,3875,12
Woodhouse,3294,5
Woodleigh,3945,42
Woods Point,3723,81
Woodside,3874,191
Woodside Beach,3874,39
Woodstock,3751,119
Woodstock On Loddon,3551,14
Woodstock West,3463,9
Woodvale,3556,245
Wool Wool,3249,5
Woolamai,3995,81
Woolenook,3860,4
Woolshed Flat,3518,2
Woolsthorpe,3276,63
Woomelang,3485,60
Wooragee,3747,39
Woorarra East,3962,26
Woorarra West,3960,8
Wooreen,3953,5
Woori Yallock,3139,860
Woorinen,3589,98
Woorinen North,3589,29
Woorinen South,3588,104
Woorndoo,3272,35
Wooroonook,3525,18
Woosang,3518,12
Wootong Vale,3315,12
Wuk Wuk,3875,30
Wulgulmerang,3885,4
Wulgulmerang East,3885,4
Wunghnu,3635,162
Wurdiboluc,3241,19
Wurruk,3850,702
Wy Yung,3875,505
Wycheproof,3527,215
Wycheproof South,3527,3
Wychitella,3525,26
Wychitella North,3525,2
Wye River,3234,66
Wyelangta,3237,6
Wyndham Vale,3024,7878
Wyuna,3620,138
Wyuna East,3620,49
Yaapeet,3424,29
Yabba North,3646,24
Yabba South,3646,3
Yackandandah,3749,212
Yalca,3637,63
Yalla-Y-Poora,3378,2
Yallambie,3085,1048
Yallourn,3825,135
Yallourn North,3825,1001
Yalmy,3885,7
Yambuk,3285,54
Yambuna,3621,52
Yan Yean,3755,177
Yanac,3418,22
Yanakie,3960,77
Yando,3537,2
Yandoit,3461,30
Yandoit Hills,3461,7
Yangery,3283,22
Yannathan,3981,72
Yapeen,3451,18
Yarck,3719,80
Yarpturk,3283,18
Yarra Glen,3775,868
Yarra Junction,3797,1048
Yarraberb,3516,7
Yarragon,3823,1176
Yarragon South,3823,33
Yarram,3971,1618
Yarrambat,3091,433
Yarraville,3013,6973
Yarrawalla,3575,26
Yarrawonga,3730,3324
Yarrawonga South,3730,2
Yarroweyah,3644,190
Yatchaw,3301,1
Yea,3717,791
Yellingbo,3139,219
Yelta,3505,136
Yendon,3352,56
Yeo,3249,34
Yeodene,3249,32
Yering,3770,90
Yeungroon East,3525,3
Yielima,3638,24
Yinnar,3869,336
Yinnar South,3869,157
Youanmite,3646,15
Youarang,3728,18
Yulecart,3301,33
Yundool,3727,7
Yuroke,3063,111
Yuulong,3237,9
Zeerust,3634,102
Zumsteins,3401,6
